yy,gear,flag,lond,latd,alb_mt,alb_no,bet_mt,bet_no,skj_mt,skj_no,yft_mt,yft_no
1952,P,JP,132.50,27.50,0,0,9.603,0,293.606,0,4.579,0
1952,P,JP,132.50,32.50,0,0,1.656,0,148.411,0,11.450,0
1952,P,JP,137.50,22.50,0,0,0.331,0,295.327,0,33.206,0
1952,P,JP,137.50,27.50,0,0,11.591,0,496.998,0,21.755,0
1952,P,JP,137.50,32.50,0,0,69.427,0,544.880,0,108.777,0
1952,P,JP,137.50,37.50,0,0,0,0,3.884,0,0,0
1952,P,JP,142.50,22.50,0,0,9.492,0,1849.472,0,120.604,0
1952,P,JP,142.50,27.50,0,0,188.633,0,876.826,0,135.494,0
1952,P,JP,142.50,32.50,0,0,121.525,0,1776.458,0,71.372,0
1952,P,JP,142.50,37.50,0,0,8.941,0,251.831,0,3.817,0
1952,P,JP,142.50,42.50,0,0,0,0,5.048,0,0,0
1952,P,JP,147.50,22.50,0,0,2.870,0,2348.306,0,105.722,0
1952,P,JP,147.50,27.50,0,0,53.421,0,210.828,0,22.519,0
1952,P,JP,147.50,32.50,0,0,256.295,0,2744.829,0,365.262,0
1952,P,JP,147.50,37.50,0,0,123.512,0,7421.682,0,17.176,0
1952,P,JP,147.50,42.50,0,0,0,0,1559.468,0,0,0
1952,P,JP,152.50,22.50,0,0,11.810,0,1694.793,0,47.708,0
1952,P,JP,152.50,27.50,0,0,27.594,0,66.408,0,24.810,0
1952,P,JP,152.50,32.50,0,0,457.065,0,4126.371,0,331.292,0
1952,P,JP,152.50,37.50,0,0,70.199,0,13832.612,0,466.405,0
1952,P,JP,152.50,42.50,0,0,5.188,0,12651.024,0,4.199,0
1952,P,JP,152.50,47.50,0,0,0,0,3.994,0,0,0
1952,P,JP,157.50,22.50,0,0,0,0,1291.496,0,26.717,0
1952,P,JP,157.50,27.50,0,0,103.091,0,92.377,0,12.977,0
1952,P,JP,157.50,32.50,0,0,384.662,0,4850.735,0,209.539,0
1952,P,JP,157.50,37.50,0,0,32.231,0,8593.952,0,185.493,0
1952,P,JP,157.50,42.50,0,0,0.883,0,6414.864,0,0,0
1952,P,JP,157.50,47.50,0,0,0,0,1.664,0,0,0
1952,P,JP,162.50,22.50,0,0,0,0,154.351,0,35.495,0
1952,P,JP,162.50,27.50,0,0,15.564,0,81.225,0,4.580,0
1952,P,JP,162.50,32.50,0,0,130.903,0,709.216,0,41.603,0
1952,P,JP,162.50,37.50,0,0,0.110,0,1354.910,0,0,0
1952,P,JP,162.50,42.50,0,0,0,0,523.078,0,0,0
1952,Z,JP,137.50,32.50,0,0,519.432,0,1858.032,0,1282.572,0
1952,Z,JP,142.50,32.50,0,0,519.600,0,1857.900,0,1282.500,0
1953,L,JP,112.50,12.50,0,0,162.871,2740,0.103,23,290.870,7595
1953,L,JP,117.50,12.50,0.140,10,62.355,1049,0.076,17,120.599,3149
